rank,id,year,db,title,url,triage_score,triage_terms,screening_status
11,doi:10.1109/imtc.2002.1007093,,crossref,Capacitive blade tip clearance measurements for a micro gas turbine,https://doi.org/10.1109/imtc.2002.1007093,8,tip clearance;capacitive;clearance measurement,UNSCREENED - keyword triage only
12,doi:10.1243/jmes_jour_1974_016_070_02,1974,crossref,Theoretical Studies of Tip Clearance and Radial Variation of Blade Loading on the Operation of Ducted Fans and Propellers,https://doi.org/10.1243/jmes_jour_1974_016_070_02,8,tip clearance;ducted fan;ducted;rotor;propeller,UNSCREENED - keyword triage only
13,doi:10.1115/96-ta-001,1996,crossref,Review of Progress in the Development of Capacitive Sensors for Blade Tip Clearance Measurement,https://doi.org/10.1115/96-ta-001,8,tip clearance;capacitive;clearance measurement,UNSCREENED - keyword triage only
14,doi:10.1088/0957-0233/11/7/303,2000,crossref,Techniques for blade tip clearance measurements with capacitive probes,https://doi.org/10.1088/0957-0233/11/7/303,8,tip clearance;capacitive;clearance measurement,UNSCREENED - keyword triage only
15,doi:10.1115/gt2004-53563,2004,crossref,The Measurement of Turbomachinery Blade Vibration Through Tip Timing With Capacitance Tip Clearance Probes,https://doi.org/10.1115/gt2004-53563,8,tip clearance;optical;clearance measurement;rotor,UNSCREENED - keyword triage only
16,doi:10.1115/gt2011-46356,2011,crossref,Tip Clearance Investigation of a Ducted Fan Used in VTOL UAVS: Part 1—Baseline Experiments and Computational Validation,https://doi.org/10.1115/gt2011-46356,8,tip clearance;ducted fan;ducted;rotor;propeller,UNSCREENED - keyword triage only
17,doi:10.1115/1.4023468,2013,crossref,Tip Clearance Investigation of a Ducted Fan Used in VTOL Unmanned Aerial Vehicles—Part I: Baseline Experiments and Computational Validation,https://doi.org/10.1115/1.4023468,8,tip clearance;ducted fan;ducted;rotor;propeller,UNSCREENED - keyword triage only
18,doi:10.1115/89-gt-82,1989,crossref,Effects of Tip Clearance of Nozzle Vanes on Performance of Radial Turbine Rotor,https://doi.org/10.1115/89-gt-82,7,tip clearance;tip-clearance;rotor,UNSCREENED - keyword triage only
19,doi:10.1115/94-gt-040,1994,crossref,A Blade by Blade Tip Clearance Measurement System for Gas Turbine Applications,https://doi.org/10.1115/94-gt-040,7,tip clearance;clearance measurement;rotor,UNSCREENED - keyword triage only
20,doi:10.1115/1.2814098,1995,crossref,A Blade-by-Blade Tip Clearance Measurement System for Gas Turbine Applications,https://doi.org/10.1115/1.2814098,7,tip clearance;clearance measurement;rotor,UNSCREENED - keyword triage only
21,doi:10.1115/1.2777187,2008,crossref,Optimized Shroud Design for Axial Turbine Aerodynamic Performance,https://doi.org/10.1115/1.2777187,7,tip clearance;ducted;shroud;rotor,UNSCREENED - keyword triage only
22,doi:10.4050/vfs-f66-000338,2010,crossref,Influence of Tip Clearance and Inlet Flow Distortion on Ducted Fan Performance in VTOL UAVs,https://doi.org/10.4050/vfs-f66-000338,7,tip clearance;ducted fan;ducted;rotor,UNSCREENED - keyword triage only
23,doi:10.1115/gt2011-46359,2011,crossref,Tip Clearance Investigation of a Ducted Fan Used in VTOL UAVS: Part 2—Novel Treatments via Computational Design and Their Experimental Verification,https://doi.org/10.1115/gt2011-46359,7,tip clearance;ducted fan;ducted;rotor,UNSCREENED - keyword triage only
