db,id,year,title,venue,type,url,query,already_screened_d01,triage_score,triage_terms
crossref,doi:10.2514/6.1987-2701,1987,Ducted fan noise propagation in non-uniform flow. I - Test background and simplified model,11th Aeroacoustics Conference,proceedings-article,https://doi.org/10.2514/6.1987-2701,ducted fan non-uniform tip clearance experimental,False,5,non-uniform;ducted fan;ducted
crossref,doi:10.2514/6.1987-2702,1987,Ducted fan noise propagation in non-uniform flow. II - Wave equationsolution,11th Aeroacoustics Conference,proceedings-article,https://doi.org/10.2514/6.1987-2702,ducted fan non-uniform tip clearance experimental,False,5,non-uniform;ducted fan;ducted
crossref,doi:10.1115/tbts2013-2040,2013,Effect of Common Blade Tip Squealer Designs in Terms of Tip Clearance Loss Control,ASME 2013 Turbine Blade Tip Symposium,proceedings-article,https://doi.org/10.1115/tbts2013-2040,tip clearance optical capacitive measurement fan blade,False,5,tip clearance;shroud
crossref,doi:10.5293/kfma.2026.29.1.072,2026,Effect of Tip Clearance on Aeroacoustic Noise and Aerodynamic Performance of Ducted Propeller,The KSFM Journal of Fluid Machinery,journal-article,https://doi.org/10.5293/kfma.2026.29.1.072,ducted fan tip clearance ovality,False,5,tip clearance;ducted;propeller
crossref,doi:10.1115/1.1574822,2003,Effect of Unsteady Stator Wake—Rotor Double-Leakage Tip Clearance Flow Interaction on Time-Average Compressor Performance,Journal of Turbomachinery,journal-article,https://doi.org/10.1115/1.1574822,non-axisymmetric tip clearance rotor performance,False,5,tip clearance;ducted;rotor
crossref,doi:10.1016/j.enconman.2019.112186,2019,Effect of rotor tip clearance on the aerodynamic performance of an aerofoil-based ducted wind turbine,Energy Conversion and Management,journal-article,https://doi.org/10.1016/j.enconman.2019.112186,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;ducted;rotor
crossref,doi:10.1115/gt2015-42133,2015,Effects of Nonuniform Tip Clearance on Fan Performance and Flow Field,Volume 2A: Turbomachinery,proceedings-article,https://doi.org/10.1115/gt2015-42133,ducted fan tip clearance ovality,False,5,tip clearance;nonuniform
crossref,doi:10.1016/j.ast.2026.111933,2026,Effects of different non-uniform tip clearance layouts on compressor performance and flowfield characteristics,Aerospace Science and Technology,journal-article,https://doi.org/10.1016/j.ast.2026.111933,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;non-uniform
crossref,doi:10.1088/1742-6596/2707/1/012005,2024,Effects of tip clearance on non-synchronous aerodynamic excitation of compressor rotor blades,Journal of Physics: Conference Series,journal-article,https://doi.org/10.1088/1742-6596/2707/1/012005,non-axisymmetric tip clearance rotor performance,False,5,tip clearance;ducted;rotor
crossref,doi:10.1115/gt2015-43753,2015,Experimental Investigation of Unsteady Tip Clearance Flow in a Counter-Rotating Fan,Volume 1: Aircraft Engine; Fans and Blowers; Marine,proceedings-article,https://doi.org/10.1115/gt2015-43753,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;ducted;rotor
